Wavelength_nm,Absorbance,Date,Sample
421,0.0161,2025-06-10,SP02
422,0.0218,2025-06-10,SP01
422,0.0159,2025-06-10,SP02
423,0.0216,2025-06-10,SP01
423,0.0157,2025-06-10,SP02
424,0.0215,2025-06-10,SP01
424,0.0156,2025-06-10,SP02
425,0.0215,2025-06-10,SP01
425,0.0153,2025-06-10,SP02
426,0.0212,2025-06-10,SP01
426,0.015,2025-06-10,SP02
427,0.021,2025-06-10,SP01
427,0.0149,2025-06-10,SP02
428,0.0207,2025-06-10,SP01
428,0.0148,2025-06-10,SP02
429,0.0204,2025-06-10,SP01
429,0.0145,2025-06-10,SP02
430,0.0202,2025-06-10,SP01
430,0.0144,2025-06-10,SP02
431,0.0201,2025-06-10,SP01
431,0.014,2025-06-10,SP02
432,0.0196,2025-06-10,SP01
432,0.0139,2025-06-10,SP02
433,0.0197,2025-06-10,SP01
433,0.0138,2025-06-10,SP02
434,0.0194,2025-06-10,SP01
434,0.0135,2025-06-10,SP02
435,0.0194,2025-06-10,SP01
435,0.0135,2025-06-10,SP02
436,0.0191,2025-06-10,SP01
436,0.0133,2025-06-10,SP02
437,0.0188,2025-06-10,SP01
437,0.0129,2025-06-10,SP02
438,0.0186,2025-06-10,SP01
438,0.013,2025-06-10,SP02
439,0.0184,2025-06-10,SP01
439,0.0126,2025-06-10,SP02
440,0.0183,2025-06-10,SP01
440,0.0125,2025-06-10,SP02
441,0.0184,2025-06-10,SP01
441,0.0126,2025-06-10,SP02
442,0.0184,2025-06-10,SP01
442,0.0123,2025-06-10,SP02
443,0.018,2025-06-10,SP01
443,0.012,2025-06-10,SP02
444,0.0179,2025-06-10,SP01
444,0.0122,2025-06-10,SP02
445,0.0178,2025-06-10,SP01
445,0.0119,2025-06-10,SP02
446,0.0175,2025-06-10,SP01
446,0.0117,2025-06-10,SP02
447,0.0177,2025-06-10,SP01
447,0.0118,2025-06-10,SP02
448,0.0176,2025-06-10,SP01
448,0.0116,2025-06-10,SP02
449,0.0172,2025-06-10,SP01
449,0.0113,2025-06-10,SP02
450,0.0173,2025-06-10,SP01
450,0.0113,2025-06-10,SP02
451,0.017,2025-06-10,SP01
451,0.0112,2025-06-10,SP02
452,0.0169,2025-06-10,SP01
452,0.0112,2025-06-10,SP02
453,0.0169,2025-06-10,SP01
453,0.011,2025-06-10,SP02
454,0.0168,2025-06-10,SP01
454,0.0108,2025-06-10,SP02
455,0.0168,2025-06-10,SP01
455,0.0109,2025-06-10,SP02
456,0.0166,2025-06-10,SP01
456,0.0107,2025-06-10,SP02
457,0.0161,2025-06-10,SP01
457,0.0105,2025-06-10,SP02
458,0.0161,2025-06-10,SP01
458,0.0106,2025-06-10,SP02
459,0.0163,2025-06-10,SP01
459,0.0106,2025-06-10,SP02
460,0.0161,2025-06-10,SP01
460,0.0103,2025-06-10,SP02
461,0.0164,2025-06-10,SP01
461,0.0104,2025-06-10,SP02
462,0.0162,2025-06-10,SP01
462,0.0101,2025-06-10,SP02
463,0.0158,2025-06-10,SP01
463,0.0101,2025-06-10,SP02
464,0.0158,2025-06-10,SP01
464,0.0102,2025-06-10,SP02
465,0.0158,2025-06-10,SP01
465,0.01,2025-06-10,SP02
466,0.0156,2025-06-10,SP01
466,0.0099,2025-06-10,SP02
467,0.0154,2025-06-10,SP01
467,0.0099,2025-06-10,SP02
468,0.0157,2025-06-10,SP01
468,0.0098,2025-06-10,SP02
469,0.0151,2025-06-10,SP01
469,0.0097,2025-06-10,SP02
470,0.0155,2025-06-10,SP01
470,0.0097,2025-06-10,SP02
471,0.0152,2025-06-10,SP01
471,0.0096,2025-06-10,SP02
472,0.0152,2025-06-10,SP01
472,0.0095,2025-06-10,SP02
473,0.0151,2025-06-10,SP01
473,0.0096,2025-06-10,SP02
474,0.015,2025-06-10,SP01
474,0.0094,2025-06-10,SP02
475,0.0149,2025-06-10,SP01
475,0.0092,2025-06-10,SP02
476,0.0149,2025-06-10,SP01
476,0.0093,2025-06-10,SP02
477,0.0149,2025-06-10,SP01
477,0.0093,2025-06-10,SP02
478,0.0149,2025-06-10,SP01
478,0.0091,2025-06-10,SP02
479,0.0146,2025-06-10,SP01
479,0.009,2025-06-10,SP02
480,0.0146,2025-06-10,SP01
480,0.0089,2025-06-10,SP02
481,0.0142,2025-06-10,SP01
481,0.0088,2025-06-10,SP02
482,0.0141,2025-06-10,SP01
482,0.0091,2025-06-10,SP02
483,0.0132,2025-06-10,SP01
483,0.0084,2025-06-10,SP02
484,0.0141,2025-06-10,SP01
484,0.0087,2025-06-10,SP02
485,0.0147,2025-06-10,SP01
485,0.0087,2025-06-10,SP02
486,0.0143,2025-06-10,SP01
486,0.0086,2025-06-10,SP02
487,0.0138,2025-06-10,SP01
487,0.0086,2025-06-10,SP02
488,0.0142,2025-06-10,SP01
488,0.0086,2025-06-10,SP02
489,0.0142,2025-06-10,SP01
489,0.0085,2025-06-10,SP02
490,0.0138,2025-06-10,SP01
490,0.0085,2025-06-10,SP02
491,0.0137,2025-06-10,SP01
491,0.0083,2025-06-10,SP02
492,0.0139,2025-06-10,SP01
492,0.0082,2025-06-10,SP02
493,0.0142,2025-06-10,SP01
493,0.0081,2025-06-10,SP02
494,0.0139,2025-06-10,SP01
494,0.0081,2025-06-10,SP02
495,0.0135,2025-06-10,SP01
495,0.008,2025-06-10,SP02
496,0.0135,2025-06-10,SP01
496,0.0081,2025-06-10,SP02
497,0.0135,2025-06-10,SP01
497,0.0081,2025-06-10,SP02
498,0.0136,2025-06-10,SP01
498,0.0077,2025-06-10,SP02
499,0.0135,2025-06-10,SP01
499,0.0079,2025-06-10,SP02
500,0.0134,2025-06-10,SP01
500,0.0078,2025-06-10,SP02
501,0.0131,2025-06-10,SP01
501,0.0078,2025-06-10,SP02
502,0.0134,2025-06-10,SP01
502,0.0077,2025-06-10,SP02
503,0.0131,2025-06-10,SP01
503,0.0079,2025-06-10,SP02
504,0.0133,2025-06-10,SP01
504,0.0075,2025-06-10,SP02
505,0.0134,2025-06-10,SP01
505,0.0077,2025-06-10,SP02
506,0.013,2025-06-10,SP01
506,0.0073,2025-06-10,SP02
507,0.0131,2025-06-10,SP01
507,0.0078,2025-06-10,SP02
508,0.0131,2025-06-10,SP01
508,0.0075,2025-06-10,SP02
509,0.0128,2025-06-10,SP01
509,0.007,2025-06-10,SP02
510,0.013,2025-06-10,SP01
510,0.0073,2025-06-10,SP02
511,0.013,2025-06-10,SP01
511,0.0073,2025-06-10,SP02
512,0.0126,2025-06-10,SP01
512,0.0068,2025-06-10,SP02
513,0.0129,2025-06-10,SP01
513,0.007,2025-06-10,SP02
514,0.0131,2025-06-10,SP01
514,0.0071,2025-06-10,SP02
515,0.0129,2025-06-10,SP01
515,0.0066,2025-06-10,SP02
516,0.0128,2025-06-10,SP01
516,0.007,2025-06-10,SP02
517,0.0122,2025-06-10,SP01
517,0.0069,2025-06-10,SP02
518,0.0124,2025-06-10,SP01
518,0.0069,2025-06-10,SP02
519,0.0128,2025-06-10,SP01
519,0.007,2025-06-10,SP02
520,0.0126,2025-06-10,SP01
520,0.0068,2025-06-10,SP02
521,0.0125,2025-06-10,SP01
521,0.0066,2025-06-10,SP02
522,0.0124,2025-06-10,SP01
522,0.0066,2025-06-10,SP02
523,0.0123,2025-06-10,SP01
523,0.0065,2025-06-10,SP02
524,0.012,2025-06-10,SP01
524,0.0067,2025-06-10,SP02
525,0.0121,2025-06-10,SP01
525,0.0068,2025-06-10,SP02
526,0.0121,2025-06-10,SP01
526,0.0066,2025-06-10,SP02
527,0.0119,2025-06-10,SP01
527,0.0066,2025-06-10,SP02
528,0.012,2025-06-10,SP01
528,0.0067,2025-06-10,SP02
529,0.0127,2025-06-10,SP01
529,0.0065,2025-06-10,SP02
530,0.0125,2025-06-10,SP01
530,0.0064,2025-06-10,SP02
531,0.012,2025-06-10,SP01
531,0.0063,2025-06-10,SP02
532,0.0117,2025-06-10,SP01
532,0.0063,2025-06-10,SP02
533,0.0123,2025-06-10,SP01
533,0.0066,2025-06-10,SP02
534,0.0126,2025-06-10,SP01
534,0.0067,2025-06-10,SP02
535,0.0119,2025-06-10,SP01
535,0.0062,2025-06-10,SP02
536,0.012,2025-06-10,SP01
536,0.0065,2025-06-10,SP02
537,0.0124,2025-06-10,SP01
537,0.0066,2025-06-10,SP02
538,0.0117,2025-06-10,SP01
538,0.0058,2025-06-10,SP02
539,0.0117,2025-06-10,SP01
539,0.0059,2025-06-10,SP02
540,0.0116,2025-06-10,SP01
540,0.0062,2025-06-10,SP02
541,0.0122,2025-06-10,SP01
541,0.0063,2025-06-10,SP02
542,0.0124,2025-06-10,SP01
542,0.0061,2025-06-10,SP02
543,0.0121,2025-06-10,SP01
543,0.0061,2025-06-10,SP02
544,0.0121,2025-06-10,SP01
544,0.0059,2025-06-10,SP02
545,0.0119,2025-06-10,SP01
545,0.0064,2025-06-10,SP02
546,0.012,2025-06-10,SP01
546,0.0059,2025-06-10,SP02
547,0.0119,2025-06-10,SP01
547,0.006,2025-06-10,SP02
548,0.0123,2025-06-10,SP01
548,0.0061,2025-06-10,SP02
549,0.0119,2025-06-10,SP01
549,0.006,2025-06-10,SP02
550,0.0118,2025-06-10,SP01
550,0.0056,2025-06-10,SP02
